,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
India,India,GPE,0.26221197,0.93039303,en,18.90000000,,-1,,,,,,
Tamil Nadu,Tamil Nadu,GPE,-0.06911253,0.87685160,en,16.70000000,4078142-2,1255053,X,11.00000000,78.00000000,ASIA,India,SAS
Chennai,Chennai,GPE,-0.00261111,0.69341162,en,15.00000000,5351481-6,1264527,X,13.08777700,80.27833300,ASIA,India,SAS
South Africa,South Africa,GPE,0.36716212,0.55998213,en,11.40000000,4078012-0,953987,X,-29.00000000,24.00000000,AFRICA,South Africa,WSAF
Sri Lanka,Sri Lanka,GPE,0.33156183,1.10861519,en,9.90000000,4009696-8,1227603,X,7.00000000,81.00000000,INDIAN,Sri Lanka,BOB
Ireland,Ireland,GPE,0.00342175,0.38710666,en,7.60000000,4027667-3,2963597,X,53.00000000,-8.00000000,EUROPE,Ireland,NEU
Vietnam,Vietnam,GPE,-0.42472944,0.91558442,en,7.00000000,4063514-4,1562822,X,16.16666900,107.83333000,ASIA,Vietnam,SEA
Brazil,Brazil,GPE,0.13156566,0.87651515,en,6.00000000,4008003-1,3469034,X,-10.00000000,-55.00000000,SOUTH-AMERICA,Brazil,SAM
Tiruvallur,Tiruvallur,GPE,-0.09561782,0.25862069,en,5.80000000,,-1,,,,,,
Kerala,Kerala,GPE,-0.00884503,0.35716374,en,5.70000000,4030266-0,1267254,X,10.00000000,76.50000000,ASIA,India,SAS
Kelantan,Kelantan,GPE,0.01235119,0.51815476,en,5.60000000,4097779-1,1733044,X,5.33333000,102.00000000,ASIA,Malaysia,SEA
Australia,Australia,GPE,0.36718221,1.27667060,en,5.50000000,,-1,,,,,,
Indonesia,Indonesia,GPE,0.20864198,0.83518519,en,5.40000000,4026761-1,1643084,X,-5.00000000,120.00000000,ASIA,Indonesia,SEA
New Zealand,New Zealand,GPE,0.25841726,1.13470934,en,4.90000000,,-1,,,,,,
US,US,GPE,-0.05083267,1.21398018,en,4.90000000,,-1,,,,,,
Meghalaya,Meghalaya,GPE,-0.05706522,0.25090580,en,4.60000000,4281475-3,1263207,X,25.50000000,91.33333000,ASIA,India,SAS
Padang Besar,Padang Besar,GPE,0.10811335,0.32078157,en,4.60000000,,-1,,,,,,
Andhra Pradesh,Andhra Pradesh,GPE,0.22092803,1.00835227,en,4.00000000,4001934-2,1278629,X,16.00000000,79.00000000,ASIA,India,SAS
Colombo,Colombo,GPE,0.49750797,0.88706140,en,3.80000000,4010404-7,1248991,X,6.93194000,79.84778000,INDIAN,Sri Lanka,EIO
Greece,Greece,GPE,0.04622851,0.76822531,en,3.60000000,,-1,,,,,,
Puducherry,Puducherry,GPE,-0.04227273,0.90625541,en,3.50000000,16023115-2,1259425,X,11.93380900,79.82979000,ASIA,India,SAS
Ukraine,Ukraine,GPE,0.10217087,0.68810691,en,3.40000000,4061496-7,690791,X,49.00000000,32.00000000,EUROPE,Ukraine,WCE
Pakistan,Pakistan,GPE,0.53609626,0.72326203,en,3.40000000,4075812-6,1168579,X,30.00000000,70.00000000,ASIA,Pakistan,WCA
England,England,GPE,-0.07419355,0.44193548,en,3.10000000,4014770-8,6269131,X,52.16044900,-0.70312000,EUROPE,United Kingdom,NEU
Bangladesh,Bangladesh,GPE,-0.08888889,0.53333333,en,3.00000000,4130903-0,1210997,X,24.00000000,90.00000000,ASIA,Bangladesh,SAS
China,China,GPE,-0.02867063,1.23115079,en,3.00000000,4009937-4,1814991,X,35.00000000,105.00000000,ASIA,China,EAS
Mumbai,Mumbai,GPE,0.36322872,1.94764883,en,3.00000000,10013721-0,1275339,X,19.07277700,72.88250000,ASIA,India,SAS
Terengganu,Terengganu,GPE,0.04827586,0.36982759,en,2.90000000,,-1,,,,,,
Istanbul,Istanbul,GPE,-0.05257937,0.56547619,en,2.80000000,4027821-9,745044,X,41.01361100,28.94944400,EUROPE-AFRICA,Turkey,MED
Himachal,Himachal,GPE,0.15178571,0.85267857,en,2.80000000,,-1,,,,,,
