,phrase,label,sentiment,subjectivity,language,count
today,today,DATE,,,en,13.000000000000005
2025,2025,DATE,,,en,12.600000000000003
Thursday,Thursday,DATE,,,en,12.000000000000004
Monday,Monday,DATE,,,en,8.900000000000002
Friday,Friday,DATE,,,en,8.8
Tuesday,Tuesday,DATE,,,en,8.1
first,first,ORDINAL,,,en,7.800000000000001
Sunday,Sunday,DATE,,,en,7.1
three,three,CARDINAL,,,en,7.099999999999999
second,second,ORDINAL,,,en,6.499999999999998
Saturday,Saturday,DATE,,,en,5.299999999999999
Three,Three,CARDINAL,,,en,5.000000000000001
one,one,CARDINAL,,,en,4.8
October,October,DATE,,,en,4.399999999999999
four,four,CARDINAL,,,en,3.8999999999999995
Wednesday,Wednesday,DATE,,,en,3.6999999999999993
2,2,CARDINAL,,,en,3.5999999999999996
2030,2030,DATE,,,en,3.5999999999999996
annual,annual,DATE,,,en,3.5
this week,this week,DATE,,,en,3.4999999999999996
Botrytis,Botrytis,NORP,,,en,3.4000000000000004
200,200,CARDINAL,,,en,3.4
the Women's World Cup,the Women's World Cup,EVENT,,,en,3.3
Nov. 17,Nov. 17,DATE,,,en,3.2
thousands,thousands,CARDINAL,,,en,3.1999999999999993
early morning,early morning,TIME,,,en,2.8
daily,daily,DATE,,,en,2.7
a week,a week,DATE,,,en,2.6
December,December,DATE,,,en,2.5999999999999996
years,years,DATE,,,en,2.5999999999999996
two decades,two decades,DATE,,,en,2.5
22,22,CARDINAL,,,en,2.5
Brazilian,Brazilian,NORP,,,en,2.5
November,November,DATE,,,en,2.5
32,32,CARDINAL,,,en,2.4
Indian,Indian,NORP,,,en,2.4
tomorrow,tomorrow,DATE,,,en,2.3
at least five,at least five,CARDINAL,,,en,2.2
46,46,CARDINAL,,,en,2.2
the day,the day,DATE,,,en,2.2
November 1,November 1,DATE,,,en,2.2
five,five,CARDINAL,,,en,2.1000000000000005
summer,summer,DATE,,,en,2.1
night,night,TIME,,,en,2.1
Italian,Italian,NORP,,,en,2.1
6,6,CARDINAL,,,en,2.1
millions,millions,CARDINAL,,,en,2.0
over 40 million,over 40 million,CARDINAL,,,en,2.0
American,American,NORP,,,en,2.0
the Bukit Merah Dam,the Bukit Merah Dam,FAC,,,en,2.0
winter,winter,DATE,,,en,2.0
French,French,NORP,,,en,1.9000000000000001
next week,next week,DATE,,,en,1.9000000000000001
132,132,CARDINAL,,,en,1.9000000000000001
5,5,CARDINAL,,,en,1.9000000000000001
112,112,CARDINAL,,,en,1.9000000000000001
Dec 18,Dec 18,DATE,,,en,1.9000000000000001
"Abstract
","Abstract
",WORK_OF_ART,,,en,1.9000000000000001
seven,seven,CARDINAL,,,en,1.9000000000000001
173%,173%,PERCENT,,,en,1.9000000000000001
January,January,DATE,,,en,1.9000000000000001
December 4,December 4,DATE,,,en,1.9000000000000001
