,phrase,label,sentiment,subjectivity,language,count
Cyclone Ditwah,Cyclone Ditwah,PERSON,0.06969057665260192,0.5228551336146272,en,7.9
Met Éireann,Met Éireann,PERSON,0.07289055973266499,0.6619674185463661,en,7.599999999999999
PETALING JAYA,PETALING JAYA,PERSON,0.36764705882352944,0.553921568627451,en,5.1
KOTA BARU,KOTA BARU,PERSON,0.06258865248226951,0.5200354609929078,en,4.7
Typhoon Kalmaegi,Typhoon Kalmaegi,PERSON,-0.326109936575053,0.9866102889358705,en,4.299999999999999
Sungai Buloh,Sungai Buloh,PERSON,-0.11711711711711713,0.41441441441441446,en,3.6999999999999997
SHAH ALAM,SHAH ALAM,PERSON,0.03603603603603602,0.3558558558558559,en,3.6999999999999997
KOTA KINABALU,KOTA KINABALU,PERSON,0.24887387387387389,0.5619369369369369,en,3.6999999999999997
Cyclone Montha,Cyclone Montha,PERSON,0.001699426699426677,1.1736076986076986,en,3.6999999999999993
PLoS Pathog,PLoS Pathog,PERSON,0.0,0.0,en,2.9000000000000004
Rhinacanthus nasutus,Rhinacanthus nasutus,PERSON,-0.03571428571428572,0.6785714285714286,en,2.8
Wang Kelian,Wang Kelian,PERSON,0.07291666666666667,0.2514880952380953,en,2.8
Medha Kulkarni,Medha Kulkarni,PERSON,0.04761904761904763,0.059523809523809534,en,2.8
Sutton United,Sutton United,PERSON,-0.13392857142857142,0.4017857142857143,en,2.8
Wisma Putra,Wisma Putra,PERSON,0.125,0.19642857142857145,en,2.8
Kevin Giufre,Kevin Giufre,PERSON,0.051184926184926184,0.3508158508158508,en,2.6
Storm Bram,Storm Bram,PERSON,0.04545454545454544,0.6818181818181818,en,2.2
Laura Wolvaardt,Laura Wolvaardt,PERSON,0.6315789473684211,0.31578947368421056,en,1.9000000000000001
Steven Pressley,Steven Pressley,PERSON,0.0,0.0,en,1.9
GUA MUSANG,GUA MUSANG,PERSON,0.006578947368421051,0.6995614035087719,en,1.9
Abhay Kumar,Abhay Kumar,PERSON,0.5263157894736842,0.5263157894736842,en,1.9
Rahul Gandhi,Rahul Gandhi,PERSON,0.07177033492822966,0.23923444976076555,en,1.9
Carlisle United,Carlisle United,PERSON,-0.13815789473684212,0.20394736842105265,en,1.9
William Hill Premiership,William Hill Premiership,PERSON,0.0,0.0,en,1.9
Kota Bharu,Kota Bharu,PERSON,-0.03728070175438597,0.43640350877192985,en,1.9
Ahmad Zahid Hamidi,Ahmad Zahid Hamidi,PERSON,0.06140350877192982,0.14035087719298245,en,1.9
Hartlepool v Sutton,Hartlepool v Sutton,PERSON,-0.13157894736842105,0.39473684210526316,en,1.9
Kampung Suasa,Kampung Suasa,PERSON,0.20394736842105263,0.5592105263157895,en,1.9
Lynn Town,Lynn Town,PERSON,0.0,0.0,en,1.9
Arjen Robben,Arjen Robben,PERSON,-0.20614035087719298,0.20614035087719298,en,1.9
Jalan Wang Kelian,Jalan Wang Kelian,PERSON,0.1074561403508772,0.3179824561403509,en,1.9
Pasir Puteh,Pasir Puteh,PERSON,-0.03728070175438597,0.43640350877192985,en,1.9
Hat Yai,Hat Yai,PERSON,0.18421052631578946,0.2894736842105263,en,1.9
Manolo Marquez,Manolo Marquez,PERSON,-0.25614035087719295,0.4526315789473684,en,1.9
Datuk Seri,Datuk Seri,PERSON,0.06140350877192982,0.14035087719298245,en,1.9
Narendra Modi,Narendra Modi,PERSON,0.07828282828282826,0.24242424242424238,en,1.8000000000000003
Jayatissa Munasinghe,Jayatissa Munasinghe,PERSON,0.0,0.3209876543209877,en,1.8
Colletotrichum acutatum,Colletotrichum acutatum,PERSON,0.034722222222222224,0.3333333333333333,en,1.8
Xylella fastidiosa,Xylella fastidiosa,PERSON,-0.5,0.7777777777777777,en,1.8
Nayudu Trophy,Nayudu Trophy,PERSON,-0.324074074074074,0.11111111111111112,en,1.8
Keith Leonard,Keith Leonard,PERSON,0.0662962962962963,0.4695061728395062,en,1.8
Jan Twomey,Jan Twomey,PERSON,0.38888888888888884,0.6111111111111112,en,1.8
Annovis Bio,Annovis Bio,PERSON,0.0,0.5555555555555556,en,1.8
Donald Trump,Donald Trump,PERSON,0.2156862745098039,0.5065359477124183,en,1.7000000000000002
Storm Claudia,Storm Claudia,PERSON,-0.23529411764705885,0.5882352941176471,en,1.7
Autodromo Ayrton Senna,Autodromo Ayrton Senna,PERSON,-0.37500000000000006,0.8749999999999999,en,1.6
Brendan Kennedy,Brendan Kennedy,PERSON,0.008333333333333331,0.5674603174603176,en,1.5
Amit Shah,Amit Shah,PERSON,-0.19196428571428573,0.46428571428571436,en,1.4
Bob Mould,Bob Mould,PERSON,0.2003968253968254,1.2619047619047619,en,1.4
Kai Trump,Kai Trump,PERSON,0.07692307692307691,0.30769230769230765,en,1.3000000000000003
Devon Conway,Devon Conway,PERSON,0.0909090909090909,0.2902097902097902,en,1.3
Max Ojomoh,Max Ojomoh,PERSON,0.0,0.0,en,1.3
Fraser Dingwall,Fraser Dingwall,PERSON,0.0,0.0,en,1.3
Spoladea recurvalis,Spoladea recurvalis,PERSON,0.10096153846153846,0.34615384615384615,en,1.3
Marc-Antoine Laugier,Marc-Antoine Laugier,PERSON,-0.5769230769230769,1.1538461538461537,en,1.3
Michael Allen,Michael Allen,PERSON,0.3846153846153846,0.3846153846153846,en,1.3
Reno Omokri,Reno Omokri,PERSON,0.6153846153846154,0.7692307692307692,en,1.3
Rory O’Driscoll,Rory O’Driscoll,PERSON,0.0,0.0,en,1.3
