,summary,Hazard,Impacts,Adaptation,Mitigation,Causes,word
summaryOfAllWords,93101.71503598109,39144.172961860546,25234.101087282354,15076.16428159249,3074.887536201455,10572.389169021862,
Leptospirosis,5.978636134303919,0.04971641435750193,0.10144712701320864,-0.10133617104106446,-0.7222646018096548,-0.17025494573644434,Leptospirosis
Campinas,5.230592737127235,0.07253941642668499,-0.1691691522782614,0.12054181877389389,-0.5885967367596954,0.03885609599490707,Campinas
leptospirosi+s campina+s,3.6834805200516927,0.020634985049904006,-0.1325979851700392,0.12666924882333785,-0.2379302297382326,0.08454262431523442,leptospirosi+s campina+s
Brazil,15.640658953920283,0.012839932396316296,0.05894997855466994,-0.1378877841188472,0.47555567307454527,-0.2060406363656121,Brazil
campina+s brazil,3.8896258291831707,0.03224545482969405,-0.14758072887923993,0.12974913561029627,-0.2923850961792929,0.07911025188061516,campina+s brazil
The,169.69121955765868,0.18001308230651444,-0.015003674763440665,-0.1846090559291449,-0.8170982111329529,-0.3452488694277654,The
brazil the,4.128624100997188,0.04417884420375755,-0.16348774461245152,0.13324479081478832,-0.35201633505462887,0.07306456999186327,brazil the
interplay,4.291025923475052,0.051466535155569135,-0.1734873833956166,0.13562309338260287,-0.39059797839691196,0.06908165353469801,interplay
the interplay,4.291025923475052,0.051466535155569135,-0.1734873833956166,0.13562309338260287,-0.39059797839691196,0.06908165353469801,the interplay
between,22.790151525740846,0.1705167060162751,-0.18762130018637718,-0.06885209585225956,-0.3516964824661893,-0.1041728105213737,between
interplay between,4.97606663196592,0.07630371507820954,-0.20979988168629166,0.14635656408658504,-0.5387118770615547,0.05308901591310796,interplay between
drainage,77.25034612621795,0.22398156711720274,-0.2763486023578544,0.09527648001934283,-3.2811235274120456,-0.24314826051472124,drainage
between drainag+e,6.630790963159093,0.10951766450455638,-0.27344911162895785,0.18452538854513245,-0.8257962287552696,0.016880661880820085,between drainag+e
impermeable,4.957332225711408,0.08007572277381383,-0.20470935104426488,0.12826014001058694,-0.5349398693659503,0.05686102360871227,impermeable
drainag+e impermeabl+e,4.957332225711408,0.08007572277381383,-0.20470935104426488,0.12826014001058694,-0.5349398693659503,0.05686102360871227,drainag+e impermeabl+e
areas,36.161191116324964,0.12554352303224192,0.03152678061239497,-0.16782823836959282,-0.39289331008054734,-0.2969205124529711,areas
impermeabl+e area+s,4.200835721054988,0.048700799917557734,-0.1636688392444292,0.12540942959371454,-0.3693556177446954,0.07219083540081703,impermeabl+e area+s
and,666.9625750534566,0.18930763761024488,0.019450349676976935,-0.20954301203941017,-1.220791328543165,-0.42144629524795924,and
area+s and,6.960783333373105,0.13046149688995665,-0.2693795173445723,0.12706822282516464,-0.8743641469576616,0.02370209300296001,area+s and
social,4.510389962757646,-0.12339104270460911,0.10486058659650546,-0.031343785386272145,0.6774887408732032,-0.07459655591255351,social
and social,4.153519784588747,-0.04096354232377256,0.06234100992301819,0.051083714994564516,-0.3580282466850789,0.007830944468283065,and social
vulnerability,3.7221318472183555,0.02190752619477896,-0.1286466359367688,0.12123461107368301,-0.24836871239419409,0.0827620016221713,vulnerability
social vulnerability,3.7221318472183555,0.02190752619477896,-0.1286466359367688,0.12123461107368301,-0.24836871239419409,0.0827620016221713,social vulnerability
Author,7.026548384636213,-0.18045856246709469,0.42543838910664306,-0.5737903050581875,-0.8837677326032666,0.13012692887540295,Author
